"","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q18","Q14","Q15","Q16","LinearConfidence","LinearTest","LinearTechnical","LinearGeneral","HAVConfidence","HAVTest","HAVTechnical","HAVGeneral","SVMConfidence","SVMTest","SVMTechnical","SVMGeneral","RFConfidence","RFTest","RFTechnical","RFGeneral"
"3","Intermediate proficiency (Some understanding of financial concepts/terminology)","Zero/minimal (No/very little exposure to machine learning concepts/terminology)",0.5,1,1,1,1,0,1,0,1,1,1,0.5,2,0.85,0.75,1,1,0.65,0.75,1,0,0.3,0.5,1,2,1,1
"4","Zero/minimal (No/very little exposure to financial concepts/terminology)","Intermediate proficiency (Some understanding of machine learning concepts/terminology)",1,1,1,0.75,1,1,1,1,0.75,1,1,1,2,1,1,0.75,2,0.925,0.875,1,1,1,1,0.75,2,0.925,0.875
"5","Intermediate proficiency (Some understanding of financial concepts/terminology)","Zero/minimal (No/very little exposure to machine learning concepts/terminology)",0.75,1,1,0.5,1,0,1,0,0.75,1,0,0.75,2,0.925,0.875,0.5,1,0.5,0.5,1,0,0.3,0.5,0.75,1,0.575,0.625
"6","Zero/minimal (No/very little exposure to financial concepts/terminology)","Intermediate proficiency (Some understanding of machine learning concepts/terminology)",0.75,1,1,0.5,1,0,0.5,1,0.75,1,1,0.75,2,0.925,0.875,0.5,1,0.5,0.5,0.5,1,0.85,0.75,0.75,2,0.925,0.875
"7","Intermediate proficiency (Some understanding of financial concepts/terminology)","Intermediate proficiency (Some understanding of machine learning concepts/terminology)",1,1,1,0.75,0,1,0.75,1,0.75,1,0,1,2,1,1,0.75,1,0.575,0.625,0.75,1,0.925,0.875,0.75,1,0.575,0.625
"8","Zero/minimal (No/very little exposure to financial concepts/terminology)","Zero/minimal (No/very little exposure to machine learning concepts/terminology)",0.75,1,0,0.25,0,0,0.5,1,0.5,0,0,0.75,1,0.575,0.625,0.25,0,0.075,0.125,0.5,1,0.85,0.75,0.5,0,0.15,0.25
"9","Zero/minimal (No/very little exposure to financial concepts/terminology)","Intermediate proficiency (Some understanding of machine learning concepts/terminology)",1,1,1,1,1,0,0.5,0,0.75,1,1,1,2,1,1,1,1,0.65,0.75,0.5,0,0.15,0.25,0.75,2,0.925,0.875
"10","Zero/minimal (No/very little exposure to financial concepts/terminology)","Intermediate proficiency (Some understanding of machine learning concepts/terminology)",0.75,1,1,0.5,1,0,0.5,0,0.75,1,0,0.75,2,0.925,0.875,0.5,1,0.5,0.5,0.5,0,0.15,0.25,0.75,1,0.575,0.625
"11","Intermediate proficiency (Some understanding of financial concepts/terminology)","Intermediate proficiency (Some understanding of machine learning concepts/terminology)",0.5,1,1,0.5,1,0,0.5,1,0.5,1,1,0.5,2,0.85,0.75,0.5,1,0.5,0.5,0.5,1,0.85,0.75,0.5,2,0.85,0.75
"12","Intermediate proficiency (Some understanding of financial concepts/terminology)","Zero/minimal (No/very little exposure to machine learning concepts/terminology)",0.5,1,1,0.5,1,1,0.25,1,0.25,1,1,0.5,2,0.85,0.75,0.5,2,0.85,0.75,0.25,1,0.775,0.625,0.25,2,0.775,0.625
"13","Zero/minimal (No/very little exposure to financial concepts/terminology)","Intermediate proficiency (Some understanding of machine learning concepts/terminology)",0.75,1,1,0.25,1,0,0.75,1,0.5,1,1,0.75,2,0.925,0.875,0.25,1,0.425,0.375,0.75,1,0.925,0.875,0.5,2,0.85,0.75
"14","Intermediate proficiency (Some understanding of financial concepts/terminology)","Intermediate proficiency (Some understanding of machine learning concepts/terminology)",0.75,1,1,0.25,1,1,0.75,1,0.5,1,1,0.75,2,0.925,0.875,0.25,2,0.775,0.625,0.75,1,0.925,0.875,0.5,2,0.85,0.75
"15","Intermediate proficiency (Some understanding of financial concepts/terminology)","Zero/minimal (No/very little exposure to machine learning concepts/terminology)",1,1,1,0.5,1,1,0.75,1,0.75,1,1,1,2,1,1,0.5,2,0.85,0.75,0.75,1,0.925,0.875,0.75,2,0.925,0.875
"16","Intermediate proficiency (Some understanding of financial concepts/terminology)","Intermediate proficiency (Some understanding of machine learning concepts/terminology)",0.5,0,1,0.25,1,1,0.5,1,0.75,1,1,0.5,1,0.5,0.5,0.25,2,0.775,0.625,0.5,1,0.85,0.75,0.75,2,0.925,0.875
"17","Intermediate proficiency (Some understanding of financial concepts/terminology)","Intermediate proficiency (Some understanding of machine learning concepts/terminology)",0.75,1,1,0.5,1,0,0.75,1,1,1,1,0.75,2,0.925,0.875,0.5,1,0.5,0.5,0.75,1,0.925,0.875,1,2,1,1
"18","Zero/minimal (No/very little exposure to financial concepts/terminology)","Zero/minimal (No/very little exposure to machine learning concepts/terminology)",0.25,1,1,0.5,1,0,0.5,0,0.5,1,1,0.25,2,0.775,0.625,0.5,1,0.5,0.5,0.5,0,0.15,0.25,0.5,2,0.85,0.75
"19","Intermediate proficiency (Some understanding of financial concepts/terminology)","Intermediate proficiency (Some understanding of machine learning concepts/terminology)",0.75,1,1,0.25,1,0,0.5,1,0.25,1,1,0.75,2,0.925,0.875,0.25,1,0.425,0.375,0.5,1,0.85,0.75,0.25,2,0.775,0.625
"20","Intermediate proficiency (Some understanding of financial concepts/terminology)","Zero/minimal (No/very little exposure to machine learning concepts/terminology)",0.5,1,1,0.25,1,1,0.5,1,0.5,1,1,0.5,2,0.85,0.75,0.25,2,0.775,0.625,0.5,1,0.85,0.75,0.5,2,0.85,0.75
"21","Zero/minimal (No/very little exposure to financial concepts/terminology)","Intermediate proficiency (Some understanding of machine learning concepts/terminology)",0.75,1,1,0.5,1,0,0.75,1,0.75,1,1,0.75,2,0.925,0.875,0.5,1,0.5,0.5,0.75,1,0.925,0.875,0.75,2,0.925,0.875
"22","Zero/minimal (No/very little exposure to financial concepts/terminology)","Zero/minimal (No/very little exposure to machine learning concepts/terminology)",1,1,1,0.5,1,0,0.75,1,1,1,1,1,2,1,1,0.5,1,0.5,0.5,0.75,1,0.925,0.875,1,2,1,1
"23","Zero/minimal (No/very little exposure to financial concepts/terminology)","Intermediate proficiency (Some understanding of machine learning concepts/terminology)",1,1,1,0.75,1,1,1,1,1,1,1,1,2,1,1,0.75,2,0.925,0.875,1,1,1,1,1,2,1,1
"24","Advanced (Fluency in financial concepts/terminology)","Zero/minimal (No/very little exposure to machine learning concepts/terminology)",0.75,1,1,0.75,1,0,0.75,1,0.5,1,1,0.75,2,0.925,0.875,0.75,1,0.575,0.625,0.75,1,0.925,0.875,0.5,2,0.85,0.75
"25","Zero/minimal (No/very little exposure to financial concepts/terminology)","Intermediate proficiency (Some understanding of machine learning concepts/terminology)",1,1,1,0.75,1,0,0.5,1,0.75,1,1,1,2,1,1,0.75,1,0.575,0.625,0.5,1,0.85,0.75,0.75,2,0.925,0.875
"26","Zero/minimal (No/very little exposure to financial concepts/terminology)","Advanced (Fluency in machine learning concepts/terminology)",1,1,1,0.75,1,0,1,1,0.75,1,1,1,2,1,1,0.75,1,0.575,0.625,1,1,1,1,0.75,2,0.925,0.875
"27","Intermediate proficiency (Some understanding of financial concepts/terminology)","Intermediate proficiency (Some understanding of machine learning concepts/terminology)",0.5,1,1,1,1,0,1,1,0.5,1,1,0.5,2,0.85,0.75,1,1,0.65,0.75,1,1,1,1,0.5,2,0.85,0.75
"28","Zero/minimal (No/very little exposure to financial concepts/terminology)","Zero/minimal (No/very little exposure to machine learning concepts/terminology)",0.75,1,1,0.75,0,1,0.5,1,0.5,1,0,0.75,2,0.925,0.875,0.75,1,0.575,0.625,0.5,1,0.85,0.75,0.5,1,0.5,0.5
"29","Zero/minimal (No/very little exposure to financial concepts/terminology)","Intermediate proficiency (Some understanding of machine learning concepts/terminology)",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1
